,open,high,low,close,adjclose,volume,ticker
2008-01-16,629120.0,629120.0,610880.0,615040.0,615040.0,0,HOU.TO
2008-01-17,636160.0,636160.0,609920.0,610560.0,610560.0,0,HOU.TO
2008-01-18,615360.0,615360.0,614400.0,614400.0,614400.0,0,HOU.TO
2008-01-21,614400.0,614400.0,614400.0,614400.0,614400.0,0,HOU.TO
2008-01-22,584000.0,607680.0,584000.0,607360.0,607360.0,0,HOU.TO
2008-01-23,584320.0,584320.0,584320.0,584320.0,584320.0,0,HOU.TO
2008-01-24,590080.0,602240.0,589120.0,602240.0,602240.0,0,HOU.TO
2008-01-25,629120.0,630080.0,629120.0,630080.0,630080.0,0,HOU.TO
2008-01-28,611520.0,632640.0,602240.0,632640.0,632640.0,0,HOU.TO
2008-01-29,626240.0,643200.0,622720.0,643200.0,643200.0,0,HOU.TO
2008-01-30,648320.0,648320.0,636160.0,639040.0,639040.0,0,HOU.TO
2008-01-31,610240.0,638720.0,610240.0,638080.0,638080.0,0,HOU.TO
2008-02-01,624320.0,624320.0,600000.0,600000.0,600000.0,0,HOU.TO
2008-02-04,604800.0,617920.0,598720.0,616320.0,616320.0,0,HOU.TO
2008-02-05,594560.0,594560.0,586240.0,592320.0,592320.0,0,HOU.TO
2008-02-06,595200.0,595200.0,572480.0,579520.0,579520.0,0,HOU.TO
2008-02-07,569600.0,585600.0,569600.0,583680.0,583680.0,0,HOU.TO
2008-02-08,603840.0,634240.0,603840.0,634240.0,634240.0,0,HOU.TO
2008-02-11,634880.0,672000.0,634880.0,664640.0,664640.0,0,HOU.TO
2008-02-12,655040.0,666560.0,644800.0,646720.0,646720.0,0,HOU.TO
2008-02-13,642560.0,662080.0,642560.0,662080.0,662080.0,0,HOU.TO
2008-02-14,668800.0,689920.0,668800.0,689920.0,689920.0,0,HOU.TO
2008-02-15,696320.0,702080.0,689920.0,689920.0,689920.0,0,HOU.TO
2008-02-19,724480.0,744000.0,721920.0,740800.0,740800.0,0,HOU.TO
2008-02-20,726400.0,752640.0,726400.0,743360.0,743360.0,0,HOU.TO
2008-02-21,729600.0,744320.0,705920.0,727040.0,727040.0,0,HOU.TO
2008-02-22,730560.0,731840.0,726080.0,731840.0,731840.0,0,HOU.TO
2008-02-25,735680.0,742400.0,735680.0,742400.0,742400.0,0,HOU.TO
2008-02-26,736000.0,765760.0,736000.0,761600.0,761600.0,0,HOU.TO
2008-02-27,763520.0,769280.0,747200.0,751680.0,751680.0,0,HOU.TO
2008-02-28,761600.0,789760.0,760320.0,787200.0,787200.0,0,HOU.TO
2008-02-29,782720.0,787840.0,773440.0,776960.0,776960.0,0,HOU.TO
2008-03-03,798080.0,804480.0,772800.0,784000.0,784000.0,0,HOU.TO
2008-03-04,794240.0,802560.0,730880.0,743680.0,743680.0,0,HOU.TO
2008-03-05,764480.0,814400.0,764480.0,813120.0,813120.0,0,HOU.TO
2008-03-06,810880.0,830400.0,785280.0,828800.0,828800.0,0,HOU.TO
2008-03-07,813440.0,841280.0,808640.0,824000.0,824000.0,0,HOU.TO
2008-03-10,808000.0,867840.0,806080.0,867840.0,867840.0,0,HOU.TO
2008-03-11,865600.0,881600.0,845760.0,880640.0,880640.0,0,HOU.TO
2008-03-12,874240.0,900800.0,864000.0,900800.0,900800.0,0,HOU.TO
2008-03-13,901440.0,910400.0,884480.0,904960.0,904960.0,0,HOU.TO
2008-03-14,900480.0,905600.0,884800.0,894720.0,894720.0,0,HOU.TO
